iter	Passed	Remaining
1365	45307	352707
1366	45341	352684
1367	45375	352655
1368	45410	352633
1369	45445	352615
1370	45478	352583
1371	45511	352550
1372	45554	352588
1373	45588	352562
1374	45622	352536
1375	45656	352507
1376	45689	352475
1377	45724	352455
1378	45757	352426
1379	45791	352393
1380	45824	352359
1381	45858	352331
1382	45891	352297
1383	45925	352271
1384	45958	352239
1385	45992	352210
1386	46025	352173
1387	46058	352144
1388	46092	352112
1389	46129	352113
1390	46168	352119
1391	46203	352098
1392	46236	352064
1393	46270	352042
1394	46302	352001
1395	46336	351969
1396	46368	351930
1397	46402	351902
1398	46437	351885
1399	46473	351871
1400	46508	351849
1401	46543	351830
1402	46578	351815
1403	46613	351794
1404	46648	351773
1405	46682	351744
1406	46717	351728
1407	46751	351697
1408	46784	351667
1409	46819	351646
1410	46854	351625
1411	46889	351604
1412	46923	351577
1413	46958	351557
1414	46992	351534
1415	47027	351512
1416	47062	351490
1417	47096	351464
1418	47131	351444
1419	47166	351420
1420	47200	351396
1421	47235	351375
1422	47269	351349
1423	47303	351317
1424	47331	351247
1425	47364	351216
1426	47399	351194
1427	47411	351003
1428	47443	350961
1429	47477	350935
1430	47511	350906
1431	47545	350881
1432	47580	350861
1433	47614	350832
1434	47648	350807
1435	47683	350786
1436	47717	350758
1437	47752	350736
1438	47787	350714
1439	47821	350688
1440	47857	350674
1441	47897	350694
1442	47930	350659
1443	47966	350645
1444	48003	350637
1445	48036	350609
1446	48071	350589
1447	48107	350572
1448	48142	350553
1449	48178	350537
1450	48213	350521
1451	48247	350492
1452	48282	350468
1453	48316	350444
1454	48351	350422
1455	48386	350406
1456	48422	350391
1457	48457	350372
1458	48486	350308
1459	48521	350288
1460	48557	350270
1461	48593	350257
1462	48629	350247
1463	48674	350294
1464	48712	350294
1465	48749	350287
1466	48791	350323
1467	48827	350305
1468	48863	350290
1469	48900	350286
1470	48935	350268
1471	48972	350258
1472	49008	350248
1473	49052	350292
1474	49089	350283
1475	49127	350281
1476	49163	350271
1477	49198	350249
1478	49233	350228
1479	49268	350208
1480	49305	350202
1481	49343	350197
1482	49378	350180
1483	49415	350167
1484	49450	350149
1485	49487	350142
1486	49524	350137
1487	49560	350120
1488	49597	350116
1489	49637	350130
1490	49673	350114
1491	49716	350150
1492	49754	350145
1493	49790	350134
1494	49827	350122
1495	49862	350104
1496	49898	350086
1497	49935	350084
1498	49970	350063
1499	50006	350048
1500	50042	350028
1501	50077	350006
1502	50112	349988
1503	50148	349973
1504	50184	349959
1505	50221	349947
1506	50256	349929
1507	50285	349861
1508	50319	349834
1509	50354	349815
1510	50389	349793
1511	50424	349772
1512	50460	349751
1513	50494	349727
1514	50531	349716
1515	50567	349701
1516	50602	349683
1517	50638	349667
1518	50672	349637
1519	50705	349603
1520	50741	349585
1521	50776	349563
1522	50811	349540
1523	50846	349518
1524	50882	349503
1525	50919	349495
1526	50954	349476
1527	50989	349449
1528	51024	349429
1529	51058	349401
1530	51093	349377
1531	51128	349356
1532	51162	349325
1533	51195	349294
1534	51230	349270
1535	51265	349246
1536	51300	349222
1537	51333	349188
1538	51367	349157
1539	51401	349132
1540	51435	349103
1541	51472	349091
1542	51508	349075
1543	51544	349062
1544	51580	349041
1545	51615	349022
1546	51650	348998
1547	51686	348981
1548	51720	348956
1549	51755	348934
1550	51791	348917
1551	51827	348903
1552	51863	348887
1553	51899	348865
1554	51933	348838
1555	51969	348824
1556	52004	348803
1557	52039	348781
1558	52074	348756
1559	52109	348733
1560	52143	348703
1561	52177	348676
1562	52212	348653
1563	52248	348636
1564	52284	348617
1565	52318	348589
1566	52353	348569
1567	52390	348555
1568	52426	348540
1569	52462	348522
1570	52498	348509
1571	52536	348505
1572	52571	348482
1573	52608	348471
1574	52643	348448
1575	52677	348421
1576	52712	348396
1577	52747	348371
1578	52781	348346
1579	52817	348325
1580	52850	348292
1581	52885	348265
1582	52920	348246
1583	52955	348221
1584	52989	348195
1585	53024	348172
1586	53059	348148
1587	53094	348123
1588	53129	348101
1589	53163	348069
1590	53196	348035
1591	53230	348007
1592	53265	347981
1593	53301	347961
1594	53335	347936
1595	53371	347920
1596	53407	347902
1597	53445	347894
1598	53479	347869
1599	53515	347853
1600	53552	347840
1601	53588	347820
1602	53623	347801
1603	53657	347772
1604	53692	347745
1605	53726	347716
1606	53761	347695
1607	53796	347671
1608	53833	347658
1609	53869	347640
1610	53904	347616
1611	53940	347603
1612	53968	347531
1613	54002	347500
1614	54037	347482
1615	54073	347463
1616	54108	347437
1617	54143	347416
1618	54177	347385
1619	54213	347368
1620	54248	347344
1621	54282	347316
1622	54318	347298
1623	54353	347274
1624	54389	347253
1625	54425	347237
1626	54462	347227
1627	54498	347207
1628	54533	347188
1629	54570	347176
1630	54606	347155
1631	54642	347143
1632	54679	347129
1633	54715	347110
1634	54752	347098
1635	54788	347084
1636	54826	347077
1637	54862	347063
1638	54886	346965
1639	54921	346945
1640	54960	346941
1641	54996	346928
1642	55031	346902
1643	55067	346882
1644	55102	346863
1645	55138	346844
1646	55174	346824
1647	55208	346793
1648	55242	346765
1649	55277	346740
1650	55313	346719
1651	55348	346698
1652	55384	346681
1653	55418	346651
1654	55454	346629
1655	55489	346609
1656	55525	346589
1657	55561	346569
1658	55596	346548
1659	55631	346522
1660	55668	346511
