author_type,district,floor,kitchen_meters,price,rooms_count,year_of_construction
2.0,3.8,2.0,5.8,4300000.0,1.0,1933
4.0,3.7,6.0,4.3,4500000.0,1.0,2025
4.0,2.5,9.0,5.0,7090000.0,1.0,2028
2.0,2.5,9.0,6.800000000000001,2600000.0,1.0,2020
4.0,3.9,18.0,5.82,8200000.0,1.0,2024
2.0,3.7,1.0,4.0,3000000.0,1.0,2017
4.0,3.8,29.0,6.5,9960000.0,1.0,2026
2.0,2.9,5.0,9.8,3200000.0,1.0,2021
4.0,2.5,2.0,5.0,5900000.0,1.0,2028
2.0,3.7,18.0,6.0200000000000005,4300000.0,1.0,2015
2.0,2.9,2.0,4.8,4600000.0,1.0,2026
4.0,2.9,16.0,5.0,6352900.0,1.0,2026
2.0,2.9,8.0,6.4,4000000.0,1.0,2015
4.0,4.4,1.0,5.0,3887100.0,1.0,2026
2.0,2.5,5.0,5.0,3260000.0,1.0,2011
4.0,3.4,15.0,14.55,5649600.0,1.0,2026
4.0,2.9,3.0,5.3580000000000005,3873044.0,1.0,2025
4.0,2.5,9.0,5.2,5650000.0,1.0,2026
2.0,2.9,4.0,4.600000000000001,2700000.0,1.0,2016
4.0,2.5,2.0,5.0,5310000.0,1.0,2028
2.0,3.7,10.0,3.0,4250000.0,1.0,2012
4.0,3.3,12.0,5.1,3881940.0,1.0,2027
2.0,3.4,9.0,4.0,4000000.0,1.0,2019
2.0,4.4,4.0,5.0,4200000.0,1.0,2013
4.0,3.8,22.0,5.18,7000000.0,1.0,2022
2.0,3.3,4.0,6.5,3300000.0,1.0,2011
2.0,2.5,8.0,5.772,4992780.0,1.0,2026
2.0,2.9,5.0,3.0,2350000.0,1.0,2015
4.0,3.4,14.0,5.0,4550000.0,1.0,2027
2.0,2.5,7.0,5.1,3500000.0,1.0,2009
2.0,2.9,16.0,4.0,3500000.0,1.0,2023
4.0,3.9,19.0,6.800000000000001,9000000.0,1.0,2024
2.0,4.0,4.0,3.0,4000000.0,1.0,2022
2.0,3.7,2.0,3.0,2600000.0,1.0,2017
4.0,4.0,17.0,5.84,4750000.0,1.0,2010
2.0,3.7,1.0,5.0,2390009.0,1.0,2017
2.0,2.9,4.0,10.0,3170000.0,1.0,2015
4.0,2.5,2.0,4.9,4149700.0,1.0,2026
2.0,3.3,4.0,5.0,5490000.0,1.0,2017
2.0,3.7,2.0,5.0,3080000.0,1.0,2016
2.0,2.5,3.0,5.702000000000001,4618620.0,1.0,2025
2.0,4.0,7.0,5.1,4000000.0,1.0,2022
2.0,2.5,3.0,5.0,5000000.0,1.0,2026
4.0,2.5,3.0,4.7,4193600.0,1.0,2026
2.0,2.9,9.0,7.299999999999999,3150000.0,1.0,2017
2.0,3.7,2.0,4.0,2300000.0,1.0,2014
4.0,3.4,3.0,2.8,4100000.0,1.0,2027
2.0,4.4,13.0,3.0,2300000.0,1.0,2013
2.0,2.9,1.0,5.2,2949000.0,1.0,2015
4.0,3.9,11.0,5.1,8600000.0,1.0,2028
2.0,2.9,14.0,4.08,3000000.0,1.0,2023
4.0,4.2,3.0,7.5,5990000.0,1.0,2028
4.0,2.5,1.0,10.0,9990000.0,1.0,2026
2.0,2.5,3.0,12.600000000000001,4600000.0,1.0,2020
