author_type,district,floor,kitchen_meters,price,rooms_count,total_meters,year_of_construction
2.0,3.8,20.0,9.0,6300.0,1.0,27.5,2007
2.0,2.5,23.0,4.1,6300.0,1.0,28.4,2021
2.0,3.8,13.0,13.0,6350.0,1.0,28.0,2007
2.0,4.0,7.0,5.0,6450.0,1.0,26.8,2022
2.0,2.5,10.0,8.0,6490.0,1.0,59.0,2020
2.0,3.9,9.0,4.0,6440.0,1.0,27.2,2023
2.0,2.5,18.0,5.0,6400.0,1.0,26.9,2020
2.0,3.4,23.0,5.0,6500.0,1.0,32.45,2019
2.0,2.9,3.0,5.018000000000001,6500.0,1.0,25.09,2026
2.0,2.5,8.0,3.6,6500.0,1.0,29.8,2020
2.0,3.4,10.0,11.1,6500.0,1.0,27.0,2025
2.0,4.0,15.0,5.0,6550.0,1.0,29.0,2022
2.0,4.0,24.0,5.0,6550.0,1.0,29.9,2026
2.0,4.0,19.0,5.0,6555.0,1.0,38.4,2018
2.0,2.5,11.0,3.0,6700.0,1.0,26.6,2023
2.0,3.8,10.0,5.18,6700.0,1.0,25.9,2014
2.0,2.5,9.0,5.2,6700.0,1.0,30.3,2024
2.0,3.7,3.0,6.0,6850.0,1.0,34.2,2018
2.0,4.0,14.0,8.08,6850.0,1.0,40.4,2022
2.0,2.9,5.0,5.4,6800.0,1.0,27.0,2015
2.0,3.7,3.0,5.0,6900.0,1.0,36.6,2018
2.0,3.4,17.0,6.0,6900.0,1.0,56.0,2019
2.0,3.8,8.0,5.3,6900.0,1.0,32.6,2016
2.0,3.7,24.0,14.0,7000.0,1.0,36.0,2017
2.0,2.5,6.0,3.0,7000.0,1.0,27.6,2020
2.0,2.5,2.0,5.0,7000.0,1.0,35.6,2009
2.0,3.9,5.0,3.0,7230.0,1.0,30.2,2024
2.0,3.4,22.0,6.2,7199.0,1.0,31.2,2024
2.0,3.7,22.0,5.0,7200.0,1.0,33.8,2017
2.0,2.5,4.0,9.0,7400.0,1.0,37.7,2017
2.0,3.8,21.0,4.0,7500.0,1.0,22.7,2022
2.0,3.9,18.0,4.0,7800.0,1.0,34.2,2002
