accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;Этажи;real_estate_agent;sale;Октябрьский;3;10;;Новосибирск;4150000;;1;Плющихинский жилмассив;39.2;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326274368/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;PRO Недвижимость;real_estate_agent;sale;Первомайский;2;17;;Новосибирск;2000000;;1;Березовое жилмассив;19.1;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/326944879/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Вертикаль;real_estate_agent;sale;Дзержинский;11;16;67;Новосибирск;4250000;Дом по ул. Есенина;1; Есенина;30.7;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/318745596/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;СТАН;real_estate_agent;sale;Октябрьский;9;10;171/11;Новосибирск;2100000;Плющихинский;1; В. Высоцкого;39.35;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/320871618/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;;14;27;229/1;Новосибирск;4300000;Расцветай на Зорге;1; Зорге;35.9;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/319053282/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Домофонд;real_estate_agent;sale;Октябрьский;5;11;41/5;Новосибирск;3150000;;1; В. Высоцкого;33.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/322576323/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Новый Мир;developer;sale;Заельцовский;12;20;;Новосибирск;7375000;Оскар ЖК;1;;32.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324818214/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Брусника;developer;sale;Центральный;27;30;;Новосибирск;11200000;Мылзавод ЖК;1;;44.36;Сибирская;https://novosibirsk.cian.ru/sale/flat/326489784/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;100 Домов-Новосибирск;real_estate_agent;sale;Центральный;2;3;6;Новосибирск;4300000;;1;Колыванская ;34.1;Октябрьская;https://novosibirsk.cian.ru/sale/flat/317033051/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Телецентр 19|56;developer;sale;Ленинский;8;15;19/1;Новосибирск;5350000;1956. Кварталы Телецентра;1; Костычева;26.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326024147/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Владис Центральное;real_estate_agent;sale;Первомайский;7;17;1/2;Новосибирск;2300000;Берёзовое;1; Одоевского;19.5;Спортивная;https://novosibirsk.cian.ru/sale/flat/326980515/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;5;10;3;Новосибирск;3500000;Плющихинский;1; Виталия Потылицына;33.6;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326580084/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Концерн Сибирь;real_estate_agent;sale;Ленинский;5;17;102;Новосибирск;4500000;Радуга Сибири;1; Забалуева;47.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/323455718/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
